question,answer,precision,dpr_answer,rank,filtered_rank
when did Kevin Richardson marry Kristin?,2000-06-17,day,"""Kevin Richardson (musician)"" Richardson has been married to Kristin Kay Willits, a dancer, actress, photographer and model, since 2000. They met when they both worked at Disney World. Kristin was playing the character of Belle from """"Beauty and the Beast"""". Kristin was also featured in one of the Backstreet Boys earliest videos """"I'll Never Break Your Heart"""" and one of the dancers at the American Music Awards in 1999. Their engagement, along with bandmate and cousin Brian Littrell's to Leighanne Wallace, was announced on MTV in February 2000, and the couple married on June 17, 2000, at The Cathedral Domain Camp and Conference",12,1
when did Frank Grillo marry Wendy?,2000-01-01,year,"""Frank Grillo"" had a son, Remy (b. January 1997). Grillo met fellow actress Wendy Moniz in 1996 on the set of """"Guiding Light"""", and they moved in together in 1998. The couple was married on October 28, 2000. The couple has two sons: Liam (b. August 2004) and Rio (b. January 2008). Frank Grillo is a convicted felon. After cooperating with the US Federal Government, in 1994 he pled guilty and was convicted under 18 U.S.C. § 371 for conspiracy to commit securities fraud. On December 20, 1996, the Court sentenced Grillo to three years probation, six months of home confinement, 200",1,1
when did Louise of Sweden marry Frederick VIII of?,1869-07-28,day,"""Louise of Sweden"" and uncle, who had not been told why they were present. During the engagement in the winter of 1868-1869, Louise studied the Danish language, literature, culture, and history under Lorentz Dietrichson. Louise married Crown Prince Frederick of Denmark (1843–1912) in Stockholm on 28 July 1869. The wedding was celebrated with great pomp in Sweden. The dowry of the Princess had entirely been made in Sweden, in order to boost the economy. The marriage was welcomed by all three countries as a symbol of the new Scandinavism. Louise was the first Swedish princess to be married into the Danish royal house",17,1
when did Alice Eve marry Alex?,2014-01-01,year,"""Alice Eve"" whom she met while reading English at Oxford. The pair broke up in 2012. On 14 August 2014, Eve announced her engagement to her """"high school sweetheart"""", financier Alex Cowper-Smith. The pair met while attending Westminster School in London. They married on 31 December 2014. The couple divorced in 2017. Eve became a naturalized American citizen on November 16, 2017. Eve has heterochromia, a condition that causes her eyes to have irises of different colours. In Eve's case, her left eye is blue and her right eye is green. Eve lives in both London and Los Angeles. Alice Eve Alice",1,1
"when did Terence O\'Neill marry Jean O\'Neill, Lady O\'Neill of the?",1944-02-04,day,"""Terence O'Neill"" in Ulster. Following school he spent a year in France and Germany and then worked in the City of London and Australia. In May 1940 he received a commission at the Royal Military College, Sandhurst, and went on to serve in the 6th Guards Tank Brigade during the Second World War, in which both of his brothers died. Like many other unionist politicians, the rank he held during the war followed him into his political career, hence """"Captain"""" Terence O'Neill. On 4 February 1944 he married Katharine Jean (16 January 1915 –15 July 2008), the daughter of William Ingham Whitaker,",25,1
when did Ethel Lilian Voynich marry Wilfrid?,1902-01-01,year,"""Ethel Voynich"" herself Mrs. Voynich. They married in 1902. In 1904 he anglicised his name to Wilfrid Michael Voynich and became an antiquarian book dealer, giving his name eventually to the Voynich manuscript. In 1897 she published """"The Gadfly"""", which was an immediate international success. She published three more novels """"Jack Raymond"""" (1901), """"Olive Latham"""" (1904) and """"An Interrupted Friendship"""" (1910), but none matched the popularity of her first book. The Voyniches emigrated to the United States in 1920, after Wilfred had moved the main base of his book business to New York. She concentrated more on music from this point on,",2,1
when did Lisa Marie Presley marry Nicolas?,2002-08-10,day,"""Lisa Marie Presley"" an attempt to reconcile, and that she had traveled to different parts of the world in order to be with him. Presley was engaged in 2000 to rocker John Oszajca. She broke off the engagement after meeting Nicolas Cage at a party. Presley's third marriage was to Cage. They were married on August 10, 2002. Cage filed for divorce after 108 days of marriage, on November 25, 2002, and the divorce was finalized in 2004. The divorce proceeding lasted longer than the marriage. Presley married for a fourth time on January 22, 2006, to Michael Lockwood, her guitarist, music producer",3,1
when did Princess Iniga of Thurn and Taxis marry Eberhard?,1948-05-18,day,"""Princess Iniga of Thurn and Taxis"" of Luxembourg. Iniga married Prince Eberhard von Urach, eighth child of Wilhelm, 2nd Duke von Urach and his wife Duchess Amalie in Bavaria, civilly 18 May 1948 in Niederaichbach and religiously 20 May 1948 in Regensburg. Prince Eberhard served as a reconnaissance officer in 1938–44 and was promoted to major. Iniga and Eberhard had issue: After her father's death, Iniga inherited her father's estate """"Schloss"""" Niederaichbach. Iniga died on 17 September 2008 at her home in Aufhausen. A requiem and funeral were held at the Wallfahrtskirche St. Maria Himmelfahrt in Aufkirchen am Starnberger See on 23 September 2008. She was",1,1
when did Ed Asner marry Cindy?,1998-01-01,year,"""Ed Asner"" May 22, 2012. Asner was married to Nancy Sykes from 1959 to 1988. They have three children: twins Matthew and Liza, and Kate. In 1987, he had a son named Charles with Carol Jean Vogelman. Asner is a parent and a grandparent of a child with autism, and is deeply involved with the autism nonprofit Autism Speaks. He served on the advisory board of a suburban Chicago firm that employs persons with autistic spectrum disorders to test and program software. Asner became engaged to producer Cindy Gilmore in 1991. They married on August 2, 1998. Gilmore filed for legal separation",1,1
when did Fali Mistry marry Shyama?,1953-01-01,year,"""Fali Mistry"" cinematographic work ..during those days."""". He died in 1979 at the age of 60. He married actress Shyama in 1953, she was noted for films like """"Aar Paar"""" (1954) and """"Barsaat Ki Raat"""" (1960). The couple had two son Faroukh and Rohin and a daughter Shirrin. Today, Shyama continues to live her South Mumbai flat. His son Faroukh Mistry is a cinematographer and documentary filmmaker, while brother Jal Mistry was also a noted cinematographer in Hindi cinema, whose son Zubin Mistry is also a cinematographer based in London. Fali Mistry Fali Mistry (1919 - 1979) was a noted Indian cinematographer,",4,1
when did Prince Ernst August of Lippe marry Christa Irene von?,1948-03-03,day,"""Prince Ernst August of Lippe"" Through his father he was first cousin of Prince Bernhard consort to Queen Juliana of the Netherlands and was a guest at their 1937 wedding. Through his mother he was descendant of George III of the United Kingdom. He had two half siblings; his mother had been married previously to Count George Jametel but divorced in 1908. Ernst August married on 3 March 1948 in Bonn-Oberkassel to Christa von Arnim (b. 2 July 1923), elder daughter of Curt David von Arnim, and his wife, Stephanie von Stechow. They had four children: On 30 December 1949 his first cousin Prince Armin",38,1
"when did Dora Gaitskell, Baroness Gaitskell marry Hugh?",1937-01-01,year,"""Dora Gaitskell, Baroness Gaitskell"" lecturer in physiology, on 15 March 1921. They had a son, Raymond, in 1925. They divorced in 1937. She had joined the Labour Party at the age of 16. She met Hugh Gaitskell in Fitzrovia, London. Gaitskell had taken a teaching post at University College, London. They lived together until after her divorce when they married at Hampstead town hall on 9 April 1937. They had two daughters Julia, 1939, and Cressida, 1942. She was a delegate at the UN General Assembly and member of the All Party Committee for Human Rights from 1977 to 1989. She was also Trustee",61,1
"when did Christopher Beckett, 4th Baron Grimthorpe marry Lady Elizabeth?",1954-02-17,day,"""Christopher Beckett, 4th Baron Grimthorpe"" wife Angela ran a stud where they bred Fragrant Mac which won the Scottish Grand National in 1952. The best horse they owned however was Fortina, winner of the 1947 Cheltenham Gold Cup. Christopher Beckett was educated at Eton. He succeeded his father as fourth Baron and eighth Baronet in 1963. In 17 February 1954, he married Lady Elizabeth Lumley, daughter of Roger Lumley, 11th Earl of Scarbrough of Lumley Castle, Lord Chamberlain to the Queen. The wedding took place at the Queen's Chapel, Marlborough Gate, sometimes called the Marlborough House Chapel, by special permission of the sovereign, and the",10,1
when did Archduchess Louise of Austria marry Enrico?,1907-09-25,day,"""Archduchess Louise of Austria"" from 30,000 to 40,000 marks for the child; but at the end Louise changed her mind and refused to send her daughter to Dresden. In London on 25 September 1907 Louise married the Italian musician Enrico Toselli, 12 years younger than her. They had one son, Carlo Emmanuele Filiberto, born on 7 May 1908. Shortly after her wedding (26 October 1907), King Frederick Augustus III finally located Anna Monika Pia, who was sent to Dresden to live with her siblings and be raised as a member of the Saxon royal house. In 1908 Louise separated from Toselli, and they divorced",1,1
when did Kenneth Tynan marry Kathleen?,1967-01-01,year,"""Kenneth Tynan"" apart from Dundy, and they finally divorced in May 1964. In December 1962, he had met Kathleen Halton, the daughter of wartime CBC correspondent Matthew Halton and sister of contemporary CBC journalist David Halton. Tynan convinced her to leave her husband and live with him. On 30 June 1967, before a New York Justice of the Peace, Tynan married a six-month pregnant Halton, with Marlene Dietrich as witness. During the ceremony, Dietrich backed towards some doors to close them; the judge interrupted his oration, and without change in tone or pace said: """"And do you, Kenneth, take Kathleen for your",1,1
